Piece_1,Bach | Cello Suite No. 1 in G Major,Bach | Cello Suite No. 2 in D Minor,Bach | Cello Suite No. 3 in C Major,Bach | Cello Suite No. 4 in E-flat Major,Bach | Cello Suite No. 5 in C Minor,Bach | Cello Suite No. 6 in D Major,Chopin | Waltz Op. 34 No. 1 in A-flat Major,Chopin | Waltz Op. 34 No. 2 in A Minor,Chopin | Waltz Op. 34 No. 3 in F Major,Chopin | Waltz Op. 42 in A Major,Chopin | Waltz Op. 64 No. 1 'Minute Waltz',Chopin | Waltz Op. 64 No. 2 in C Minor,Chopin | Waltz Op. 64 No. 3 in A-flat Major,Chopin | Étude Op. 10 No. 1 'Waterfall',Chopin | Étude Op. 10 No. 10,Chopin | Étude Op. 10 No. 2 'Chromatic',Chopin | Étude Op. 10 No. 4 'Torrent',Chopin | Étude Op. 10 No. 5 'Black Keys',Chopin | Étude Op. 10 No. 6 'Lament',Chopin | Étude Op. 10 No. 7 'Toccata',Chopin | Étude Op. 10 No. 8 'Sunshine',Chopin | Étude Op. 10 No. 9,Chopin | Étude Op. 25 No. 11 'Winter Wind',Chopin | Étude Op. 25 No. 12 'Ocean',Chopin | Étude Op. 25 No. 2 'The Bees',Chopin | Étude Op. 25 No. 9 'Butterfly',"Mozart | Piano Sonata No. 10 in C Major, K. 330 (1st movement)","Mozart | Piano Sonata No. 11 in A Major, K. 331 'Rondo Alla Turca'",Ysaÿe | Violin Sonata No. 1 in G Minor,Ysaÿe | Violin Sonata No. 2 in A Minor,Ysaÿe | Violin Sonata No. 3 in D Minor,Ysaÿe | Violin Sonata No. 4 in E Minor,Ysaÿe | Violin Sonata No. 5 in G Major,Ysaÿe | Violin Sonata No. 6 in E Major
Chopin | Waltz Op. 64 No. 2 in C Minor,0.18934093349271242,0.16149569354707,0.10665417698772484,0.0880347795733805,0.1228212993169339,0.07846987849142986,0.4021009651256965,0.6989527563570809,0.6661017278718431,0.37668127909987303,0.5148018115884323,1.0,0.5696783765929875,0.23583446538261887,0.4909418098949506,0.863661988760057,0.7337979988725954,0.6599885971842632,0.7892279907104409,0.7337979988725954,0.7247266815084555,0.4918277759133817,0.21282145178069667,0.4021009651256965,0.5899357027862457,0.4681463516625927,0.4633192471715036,0.5480651888869797,0.1291613465820362,0.1882536808198132,0.25257409152260224,0.1850369302429774,0.194893737285579,0.29563200626221187
Chopin | Waltz Op. 64 No. 3 in A-flat Major,0.2495534965182191,0.2181178385470876,0.15620495287818506,0.1351847350639912,0.174456694608929,0.12438651750411842,0.48974720996432136,0.7859471918947322,0.4633192471715034,0.5178716550761592,0.42429395992817626,0.5696783765929875,0.7289354936746746,0.3020419925489282,0.7235321028443898,0.6414052627909922,0.6822711793944024,0.8198548868068748,0.48208051247090605,0.6022791264515771,0.6102422985584309,0.4039438996088086,0.276061637346845,0.48974720996432136,0.8072793485495194,0.38296724497274726,0.5588590933500994,0.45375816656673523,0.18161423958737521,0.24832605142454497,0.32094005781711693,0.24469452693025973,0.2558222893587229,0.369549941709187
Chopin | Étude Op. 10 No. 1 'Waterfall',0.715191559349548,0.5404428451660469,0.438275760454659,0.4228322908647432,0.4894685561048705,0.404509984115142,0.4449514997592761,0.32392418616791563,0.17138121570520737,0.507457240263784,0.14773203207510144,0.23583446538261887,0.3020419925489282,0.4779041208768475,0.36142674852748924,0.27930070029681187,0.25559040247740006,0.29756566726979494,0.18275047496093694,0.25559040247740006,0.2604160561172798,0.13539996875483096,0.6876813555992373,0.4449514997592761,0.2885068472201497,0.12268819153355366,0.3852507800854493,0.16558723526594565,0.5230212871330691,0.6638446546808494,0.788244674745449,0.6329957774752709,0.7269972656911272,0.6696581927527752
Chopin | Étude Op. 10 No. 10,0.30356107715374836,0.2689049983720177,0.20064945731363718,0.17747582674268403,0.2207709957241054,0.16557138756088344,0.6219053740428943,0.8157467858934214,0.3944661169679243,0.6398073939457819,0.35906725982274973,0.4909418098949506,0.7235321028443898,0.36142674852748924,0.6201902709921892,0.5560034654866206,0.5205131306612598,0.650606844179989,0.41148398915052636,0.5205131306612598,0.5277363239224738,0.3406082316124156,0.3327848401097432,0.5683613960689422,0.5697835216988725,0.3215808354470596,0.6445534349812772,0.3857935010722001,0.22866179422066019,0.30220788664933185,0.3822608229838943,0.29820433122551,0.31047207544576316,0.4358505384363725
Chopin | Étude Op. 10 No. 2 'Chromatic',0.22887138450439337,0.19866898125700075,0.13918500478355986,0.11898943275655388,0.1567207110259876,0.10861484090306524,0.4596420398426684,0.6817750687200218,0.4935745686990334,0.4320705192067266,0.4529557619121164,0.863661988760057,0.6414052627909922,0.27930070029681187,0.5560034654866206,0.4765515910620618,0.8047253335312315,0.725739996182901,0.5131019127393983,0.8047253335312315,0.7290085705150533,0.4317747475851602,0.2543395824145523,0.4596420398426684,0.8202125636735725,0.40994155321594394,0.593015593391137,0.4836230804924827,0.16359745780504042,0.22769209340391042,0.29745737410811046,0.22420303752730336,0.234894245849212,0.34416023989401157
Chopin | Étude Op. 10 No. 4 'Torrent',0.20730800851213382,0.1783914089236919,0.12143983737087945,0.10210404925557827,0.13822899788103177,0.0921711337831402,0.42825408960769323,0.6473537955626298,0.5278670551594102,0.4018563683487792,0.4854420951203069,0.7337979988725954,0.6822711793944024,0.25559040247740006,0.5205131306612598,0.8047253335312315,0.5033992708225182,0.6091267984613254,0.5482627008249336,0.9398139595830327,0.8427143292576487,0.4633192471715036,0.23169195157702313,0.42825408960769323,0.869029314226831,0.44051521938459354,0.4918277759133817,0.5174730647178079,0.14481298166047307,0.20617892324459564,0.2729740941710269,0.20283840656785546,0.21307445922992094,0.3176886838843546
Chopin | Étude Op. 10 No. 5 'Black Keys',0.2454824938765492,0.21428958593185776,0.1528547991991031,0.13199690209837597,0.17096559873001185,0.1212820697057732,0.48382140185481887,0.8513899510532904,0.4690855030327748,0.51260965104581,0.4297565124756381,0.6599885971842632,0.8198548868068748,0.29756566726979494,0.650606844179989,0.725739996182901,0.6091267984613254,0.620903678913185,0.5066665830504391,0.6252497121773404,0.6491085630578101,0.40924808353961767,0.2717859355736051,0.48382140185481887,0.7397948886845457,0.40958372076436744,0.5523995947565413,0.4594500160092873,0.1780678722637071,0.24426452726521558,0.31631779934810955,0.2406610458507925,0.2517028783258822,0.36455231172383085
Chopin | Étude Op. 10 No. 6 'Lament',0.14106359622134823,0.11609708810926513,0.06692526661551272,0.05023080330706943,0.08142097904496888,0.04165475293293124,0.33182780102121523,0.4544452419859665,0.8945260385959667,0.30903608514413067,0.6061725639727472,0.7892279907104409,0.48208051247090605,0.18275047496093694,0.41148398915052636,0.5131019127393983,0.5482627008249336,0.5066665830504391,0.61132265882968,0.6489817443303524,0.5408554107785781,0.5805495359938395,0.16211662185363832,0.33182780102121523,0.5002435701324811,0.5809688778179918,0.38671713716226075,0.7644430159525928,0.08710557152052915,0.14008874728017148,0.19775950388771182,0.13720455488219258,0.1460423330255576,0.2363659507969287
Chopin | Étude Op. 10 No. 7 'Toccata',0.20730800851213382,0.1783914089236919,0.12143983737087945,0.10210404925557827,0.13822899788103177,0.0921711337831402,0.42825408960769323,0.5702715246057857,0.5278670551594102,0.4018563683487792,0.4854420951203069,0.7337979988725954,0.6022791264515771,0.25559040247740006,0.5205131306612598,0.8047253335312315,0.9398139595830327,0.6252497121773404,0.6489817443303524,0.628104435096492,0.773769850169824,0.4633192471715036,0.23169195157702313,0.42825408960769323,0.7871248306449504,0.44051521938459354,0.4918277759133817,0.7476354785865025,0.14481298166047307,0.20617892324459564,0.2729740941710269,0.20283840656785546,0.21307445922992094,0.3176886838843546
Chopin | Étude Op. 10 No. 8 'Sunshine',0.21169670850391337,0.18251841489735982,0.12505143400148647,0.10554065781160991,0.14199253571278822,0.09551784986915317,0.4346423424020452,0.5779450292532436,0.5206426893970503,0.40800572286866044,0.47859822995920115,0.7247266815084555,0.6102422985584309,0.2604160561172798,0.5277363239224738,0.7290085705150533,0.8427143292576487,0.6491085630578101,0.5408554107785781,0.773769850169824,0.40784024943104175,0.45667379721074697,0.2363013252347551,0.4346423424020452,0.8749791153306689,0.43407429398381153,0.4987913679126296,0.5103419204837373,0.14863610427034818,0.21055740506187828,0.2779570694944265,0.2071866568487836,0.21751534535976846,0.3230763243764406
